"timepoint","cell_group","category"
60,"gill ionocyte","lmx1b_only"
60,"neural tube-like connective tissue","lmx1b_only"
60,"terminal epiderm 2","lmx1b_only"
60,"terminal periderm, cloaca","lmx1b_only"
60,"unknown parachordal cartilage","lmx1b_only"
60,"diencephalon, progenitor (suspected doublets)","ctrl_only"
60,"goblet cell","ctrl_only"
60,"head/neck muscle group 2","ctrl_only"
60,"hepatocyte","ctrl_only"
60,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
60,"odontoblast (tfr1a+)","ctrl_only"
60,"periderm (suspected doublets)","ctrl_only"
60,"retinal pigmented epithelium","ctrl_only"
60,"terminal epiderm 11","ctrl_only"
60,"pancreatic duct","both"
60,"terminal epiderm 3","both"
