"timepoint","cell_group","category"
72,"gill ionocyte","lmx1b_only"
72,"neural tube-like connective tissue","lmx1b_only"
72,"terminal epiderm 2","lmx1b_only"
72,"terminal epiderm 9, differentiated 2","lmx1b_only"
72,"terminal periderm, cloaca","lmx1b_only"
72,"unknown parachordal cartilage","lmx1b_only"
72,"diencephalon, progenitor (suspected doublets)","ctrl_only"
72,"goblet cell","ctrl_only"
72,"head/neck muscle group 2","ctrl_only"
72,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
72,"odontoblast (tfr1a+)","ctrl_only"
72,"periderm (suspected doublets)","ctrl_only"
72,"posterior lateral line primordium","ctrl_only"
72,"retinal pigmented epithelium","ctrl_only"
72,"terminal epiderm 11","ctrl_only"
72,"terminal epiderm 3","ctrl_only"
72,"hepatocyte","both"
72,"pancreatic duct","both"
