"timepoint","cell_group","category"
48,"gill ionocyte","lmx1b_only"
48,"neural crest, pre-migratory (prdm1a+)","lmx1b_only"
48,"neural tube-like connective tissue","lmx1b_only"
48,"terminal epiderm 16","lmx1b_only"
48,"unknown (neuron, hctr2+, opn8b+)","lmx1b_only"
48,"unknown parachordal cartilage","lmx1b_only"
48,"diencephalon, non-visual photoreceptor","ctrl_only"
48,"diencephalon, progenitor (suspected doublets)","ctrl_only"
48,"goblet cell","ctrl_only"
48,"head/neck muscle group 2","ctrl_only"
48,"hepatocyte","ctrl_only"
48,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
48,"odontoblast (tfr1a+)","ctrl_only"
48,"pancreatic duct","ctrl_only"
48,"periderm (suspected doublets)","ctrl_only"
48,"retinal pigmented epithelium","ctrl_only"
48,"terminal epiderm 11","ctrl_only"
48,"terminal epiderm 13","ctrl_only"
48,"retina, progenitor (atoh7+) (suspected doublets)","both"
48,"terminal epiderm 3","both"
