"timepoint","cell_group","category"
24,"early notochord sheath","lmx1b_only"
24,"gill ionocyte","lmx1b_only"
24,"neural crest, pre-migratory (prdm1a+)","lmx1b_only"
24,"neural tube-like connective tissue","lmx1b_only"
24,"terminal epiderm 16","lmx1b_only"
24,"unknown (neuron, hctr2+, opn8b+)","lmx1b_only"
24,"unknown parachordal cartilage","lmx1b_only"
24,"diencephalon, non-visual photoreceptor","ctrl_only"
24,"diencephalon, progenitor (suspected doublets)","ctrl_only"
24,"fin mesenchyme","ctrl_only"
24,"goblet cell","ctrl_only"
24,"head/neck muscle group 2","ctrl_only"
24,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
24,"pancreatic duct","ctrl_only"
24,"periderm (suspected doublets)","ctrl_only"
24,"posterior lateral line primordium","ctrl_only"
24,"retinal pigmented epithelium","ctrl_only"
24,"terminal epiderm 11","ctrl_only"
24,"terminal epiderm 13","ctrl_only"
24,"hepatocyte","both"
24,"retina, progenitor (atoh7+) (suspected doublets)","both"
24,"terminal epiderm 3","both"
