"timepoint","cell_group","category"
72,"erythrocyte (doublets, periderm, evpla+)","lmx1b_only"
72,"gill ionocyte","lmx1b_only"
72,"neural tube-like connective tissue","lmx1b_only"
72,"terminal epiderm 9, differentiated 1","lmx1b_only"
72,"terminal epiderm 9, differentiated 2","lmx1b_only"
72,"terminal periderm, cloaca","lmx1b_only"
72,"unknown 1 (pancreas, ins+, gcga+, gcgb+, isl1+, sst1.1+)","lmx1b_only"
72,"unknown 3 (pancreas, suspected doublets)","lmx1b_only"
72,"dopaminergic neuron","ctrl_only"
72,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
72,"neuron, telencephalon (nfixa+, nfixb+)","ctrl_only"
72,"odontoblast","ctrl_only"
72,"odontoblast (tfr1a+)","ctrl_only"
72,"posterior lateral line primordium","ctrl_only"
72,"retinal pigmented epithelium","ctrl_only"
72,"terminal epiderm 11","ctrl_only"
72,"terminal epiderm 14","ctrl_only"
72,"terminal epiderm 3","ctrl_only"
72,"hepatocyte","both"
