"timepoint","cell_group","category"
18,"erythrocyte (doublets, periderm, evpla+)","lmx1b_only"
18,"gill ionocyte","lmx1b_only"
18,"neural tube-like connective tissue","lmx1b_only"
18,"terminal epiderm 9, differentiated 1","lmx1b_only"
18,"apical ectodermal ridge, (ms1b+)","ctrl_only"
18,"dopaminergic neuron","ctrl_only"
18,"fin mesenchyme","ctrl_only"
18,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
18,"neuron, telencephalon (nfixa+, nfixb+)","ctrl_only"
18,"odontoblast","ctrl_only"
18,"odontoblast (tfr1a+)","ctrl_only"
18,"posterior lateral line primordium","ctrl_only"
18,"retinal pigmented epithelium","ctrl_only"
18,"hepatocyte","both"
18,"lens (suspected doublets)","both"
