"timepoint","cell_group","category"
60,"erythrocyte (doublets, periderm, evpla+)","lmx1b_only"
60,"gill ionocyte","lmx1b_only"
60,"neural tube-like connective tissue","lmx1b_only"
60,"terminal epiderm 14","lmx1b_only"
60,"terminal epiderm 9, differentiated 1","lmx1b_only"
60,"terminal periderm, cloaca","lmx1b_only"
60,"apical ectodermal ridge, (ms1b+)","ctrl_only"
60,"dopaminergic neuron","ctrl_only"
60,"hepatocyte","ctrl_only"
60,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
60,"neuron, telencephalon (nfixa+, nfixb+)","ctrl_only"
60,"odontoblast","ctrl_only"
60,"odontoblast (tfr1a+)","ctrl_only"
60,"retinal pigmented epithelium","ctrl_only"
60,"terminal epiderm 11","ctrl_only"
60,"terminal epiderm 3","ctrl_only"
60,"lens (suspected doublets)","both"
