"timepoint","cell_group","category"
24,"erythrocyte (doublets, periderm, evpla+)","lmx1b_only"
24,"gill ionocyte","lmx1b_only"
24,"neural tube-like connective tissue","lmx1b_only"
24,"terminal epiderm 9, differentiated 1","lmx1b_only"
24,"apical ectodermal ridge, (ms1b+)","ctrl_only"
24,"diencephalon, non-visual photoreceptor","ctrl_only"
24,"dopaminergic neuron","ctrl_only"
24,"fin mesenchyme","ctrl_only"
24,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
24,"neural crest, pre-migratory (prdm1a+)","ctrl_only"
24,"neuron, telencephalon (nfixa+, nfixb+)","ctrl_only"
24,"odontoblast","ctrl_only"
24,"odontoblast (tfr1a+)","ctrl_only"
24,"posterior lateral line primordium","ctrl_only"
24,"retina, progenitor (atoh7+) (suspected doublets)","ctrl_only"
24,"retinal pigmented epithelium","ctrl_only"
24,"terminal epiderm 13","ctrl_only"
24,"terminal epiderm 3","ctrl_only"
24,"hepatocyte","both"
24,"lens (suspected doublets)","both"
