"timepoint","cell_group","category"
36,"erythrocyte (doublets, periderm, evpla+)","lmx1b_only"
36,"gill ionocyte","lmx1b_only"
36,"neural tube-like connective tissue","lmx1b_only"
36,"terminal epiderm 14","lmx1b_only"
36,"terminal epiderm 16","lmx1b_only"
36,"terminal epiderm 9, differentiated 1","lmx1b_only"
36,"apical ectodermal ridge, (ms1b+)","ctrl_only"
36,"dopaminergic neuron","ctrl_only"
36,"hepatocyte","ctrl_only"
36,"myeloid (doublets, muscle , ttn.1+)","ctrl_only"
36,"neural crest, pre-migratory (prdm1a+)","ctrl_only"
36,"neuron, telencephalon (nfixa+, nfixb+)","ctrl_only"
36,"odontoblast","ctrl_only"
36,"retina, progenitor (atoh7+) (suspected doublets)","ctrl_only"
36,"retinal pigmented epithelium","ctrl_only"
36,"terminal epiderm 11","ctrl_only"
36,"terminal epiderm 13","ctrl_only"
36,"terminal epiderm 3","ctrl_only"
36,"diencephalon, non-visual photoreceptor","both"
36,"lens (suspected doublets)","both"
